step,row,col,action,decision,resource_before,resource_after,v_stay,v_leave,can_scan_here,can_move_neighbors,hidden_local,hidden_global,total_moves,visited_here,overall_label,explorer_label,mine_id,revealed_cat,move_probs,cfg_init_resource,cfg_move_cost,cfg_scan_cost,cfg_gamma,cfg_beta_local,cfg_beta_global,cfg_avoid_base,cfg_no_backtrack
0,2,1,move,leave,200.0,196.0,-0.2,2.8000000000000003,False,True,2,8,1,True,neutral,None,,,"[0.0, 0.5, 0.0, 0.5]",200,4,2,0.1,0.6,0.4,True,True
1,2,2,move,leave,196.0,192.0,1.0,2.0000000000000004,True,True,0,8,2,True,poor,poor,,,"[0.5, 0.5]",200,4,2,0.1,0.6,0.4,True,True
2,1,2,move,leave,192.0,188.0,-0.2,2.8000000000000003,False,True,2,8,3,True,rich,None,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
3,0,2,move,leave,188.0,184.0,1.0,2.0000000000000004,True,True,2,8,4,True,rich,None,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
4,0,1,move,leave,184.0,180.0,1.0,2.0000000000000004,True,True,0,8,5,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
5,0,0,move,leave,180.0,176.0,-0.2,2.8000000000000003,False,True,2,8,6,True,rich,None,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
6,1,0,move,leave,176.0,172.0,1.0,2.0000000000000004,True,True,0,8,7,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
7,2,0,move,leave,172.0,168.0,-0.2,2.8000000000000003,False,True,0,8,8,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
8,2,0,halt,no_actions_left,168.0,168.0,-0.2,2.8000000000000003,False,False,0,8,8,True,poor,poor,,,,200,4,2,0.1,0.6,0.4,True,True
